meterName,armSkuName,tier,size,family,MemoryPreservingMaintenanceSupported,HyperVGenerations,CpuArchitectureType,LowPriorityCapable,PremiumIO,ACUs,EphemeralOSDiskSupported,EncryptionAtHostSupported,CapacityReservationSupported,AcceleratedNetworkingEnabled,RdmaEnabled,MaxNetworkInterfaces,UltraSSDAvailable,unit,os,unitPricePerUnit,armSkuName,numberOfCores,osDiskSizeInMB,memoryInMB,maxDataDiskCount
B2ms,Standard_B2ms,Standard,B2ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,100,Windows,"0,07397",Standard_B2ms,2,1047552,8192,4
B2ms,Standard_B2ms,Standard,B2ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,100,Windows,"0,07397",Standard_B2ms,2,1047552,8192,4
A8m v2,Standard_A8m_v2,Standard,A8m_v2,standardAv2Family,TRUE,V1,x64,TRUE,FALSE,100,FALSE,FALSE,TRUE,FALSE,FALSE,8,null,100,Linux,"0,41028",Standard_A8m_v2,8,1047552,65536,16
A8m v2,Standard_A8m_v2,Standard,A8m_v2,standardAv2Family,TRUE,V1,x64,TRUE,FALSE,100,FALSE,FALSE,TRUE,FALSE,FALSE,8,null,100,Linux,"0,41028",Standard_A8m_v2,8,1047552,65536,16
A8m v2,Standard_A8m_v2,Standard,A8m_v2,standardAv2Family,TRUE,V1,x64,TRUE,FALSE,100,FALSE,FALSE,TRUE,FALSE,FALSE,8,null,100,Linux,"0,41028",Standard_A8m_v2,8,1047552,65536,16
A8m v2,Standard_A8m_v2,Standard,A8m_v2,standardAv2Family,TRUE,V1,x64,TRUE,FALSE,100,FALSE,FALSE,TRUE,FALSE,FALSE,8,null,100,Linux,"0,41028",Standard_A8m_v2,8,1047552,65536,16
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
B8ms,Standard_B8ms,Standard,B8ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Windows,"0,2964",Standard_B8ms,8,1047552,32768,16
F2s v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_F2s_v2,2,1047552,4096,4
F2s v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_F2s_v2,2,1047552,4096,4
